Id,Top-Left,Bottom-Right,Top,Bottom,Left,Right,Top_Box,Bottom_Box,Left_Box,Right_Box
201,"(503, 1624)","(570, 1695)","(536.5, 1624)","(536.5, 1695)","(503, 1659.5)","(570, 1659.5)","[72.67220926874316, 203]","[72.67220926874316, 203]","[72.67220926874316, 203]","[86.81301745706112, 227]"
202,"(592, 1630)","(626, 1699)","(609.0, 1630)","(609.0, 1699)","(592, 1664.5)","(626, 1664.5)","[72.67220926874316, 202]","[72.67220926874316, 202]","[89.44271909999159, 209]","[72.67220926874316, 202]"
203,"(2050, 1364)","(2125, 1436)","(2087.5, 1364)","(2087.5, 1436)","(2050, 1400.0)","(2125, 1400.0)","[77.96954533662486, 188]","[91.25376704553078, 175]","[77.96954533662486, 188]","[77.96954533662486, 188]"
204,"(2129, 1377)","(2279, 1429)","(2204.0, 1377)","(2204.0, 1429)","(2129, 1403.0)","(2279, 1403.0)","[73.54250471666029, 189]","[97.96045120353418, 176]","[73.54250471666029, 189]","[73.54250471666029, 189]"
205,"(522, 1398)","(655, 1473)","(588.5, 1398)","(588.5, 1473)","(522, 1435.5)","(655, 1435.5)","[61.28825336065631, 219]","[61.28825336065631, 219]","[61.28825336065631, 219]","[61.28825336065631, 219]"
206,"(672, 1395)","(981, 1466)","(826.5, 1395)","(826.5, 1466)","(672, 1430.5)","(981, 1430.5)","[90.57869506677605, 221]","[-1, 0]","[90.57869506677605, 221]","[90.57869506677605, 221]"
207,"(1047, 1415)","(1192, 1456)","(1119.5, 1415)","(1119.5, 1456)","(1047, 1435.5)","(1192, 1435.5)","[70.45565981523414, 223]","[-1, 0]","[70.45565981523414, 223]","[70.45565981523414, 223]"
208,"(587, 1552)","(711, 1617)","(649.0, 1552)","(649.0, 1617)","(587, 1584.5)","(711, 1584.5)","[89.44271909999159, 203]","[-1, 0]","[89.44271909999159, 203]","[89.44271909999159, 203]"
209,"(740, 1548)","(786, 1610)","(763.0, 1548)","(763.0, 1610)","(740, 1579.0)","(786, 1579.0)","[-1, 0]","[87.65414993027997, 220]","[87.65414993027997, 220]","[87.65414993027997, 220]"
210,"(810, 1545)","(945, 1634)","(877.5, 1545)","(877.5, 1634)","(810, 1589.5)","(945, 1589.5)","[82.53787009609589, 221]","[82.53787009609589, 221]","[82.53787009609589, 221]","[82.53787009609589, 221]"
211,"(976, 1555)","(1192, 1606)","(1084.0, 1555)","(1084.0, 1606)","(976, 1580.5)","(1192, 1580.5)","[-1, 0]","[86.70207609971055, 223]","[86.70207609971055, 223]","[86.70207609971055, 223]"
212,"(740, 1634)","(824, 1702)","(782.0, 1634)","(782.0, 1702)","(740, 1668.0)","(824, 1668.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
213,"(848, 1644)","(940, 1709)","(894.0, 1644)","(894.0, 1709)","(848, 1676.5)","(940, 1676.5)","[88.05963888183962, 232]","[-1, 0]","[88.05963888183962, 232]","[88.05963888183962, 232]"
214,"(962, 1637)","(1030, 1695)","(996.0, 1637)","(996.0, 1695)","(962, 1666.0)","(1030, 1666.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
215,"(1063, 1644)","(1189, 1695)","(1126.0, 1644)","(1126.0, 1695)","(1063, 1669.5)","(1189, 1669.5)","[79.30952023559341, 233]","[-1, 0]","[79.30952023559341, 233]","[79.30952023559341, 233]"
216,"(309, 1456)","(355, 1518)","(332.0, 1456)","(332.0, 1518)","(309, 1487.0)","(355, 1487.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
217,"(372, 1463)","(563, 1545)","(467.5, 1463)","(467.5, 1545)","(372, 1504.0)","(563, 1504.0)","[78.85429601486528, 199]","[81.18189453320241, 197]","[78.85429601486528, 199]","[78.85429601486528, 199]"
218,"(578, 1463)","(624, 1528)","(601.0, 1463)","(601.0, 1528)","(578, 1495.5)","(624, 1495.5)","[61.28825336065631, 206]","[61.28825336065631, 206]","[61.28825336065631, 206]","[61.28825336065631, 206]"
219,"(641, 1470)","(807, 1531)","(724.0, 1470)","(724.0, 1531)","(641, 1500.5)","(807, 1500.5)","[87.65414993027997, 210]","[-1, 0]","[87.65414993027997, 210]","[87.65414993027997, 210]"
220,"(822, 1466)","(928, 1548)","(875.0, 1466)","(875.0, 1548)","(822, 1507.0)","(928, 1507.0)","[82.53787009609589, 211]","[82.53787009609589, 211]","[82.53787009609589, 211]","[82.53787009609589, 211]"
221,"(945, 1480)","(1042, 1545)","(993.5, 1480)","(993.5, 1545)","(945, 1512.5)","(1042, 1512.5)","[113.20004416960269, 212]","[-1, 0]","[-1, 0]","[-1, 0]"
222,"(1061, 1473)","(1194, 1538)","(1127.5, 1473)","(1127.5, 1538)","(1061, 1505.5)","(1194, 1505.5)","[86.70207609971055, 212]","[70.45565981523414, 208]","[70.45565981523414, 208]","[70.45565981523414, 208]"
223,"(1390, 1606)","(1443, 1671)","(1416.5, 1606)","(1416.5, 1671)","(1390, 1638.5)","(1443, 1638.5)","[77.01460900374681, 225]","[77.01460900374681, 225]","[77.01460900374681, 225]","[-1, 0]"
224,"(1450, 1596)","(1537, 1678)","(1493.5, 1596)","(1493.5, 1678)","(1450, 1637.0)","(1537, 1637.0)","[77.01460900374681, 224]","[77.01460900374681, 224]","[-1, 0]","[77.01460900374681, 224]"
225,"(307, 1695)","(447, 1784)","(377.0, 1695)","(377.0, 1784)","(307, 1739.5)","(447, 1739.5)","[83.42961105027399, 235]","[83.42961105027399, 235]","[83.42961105027399, 235]","[83.42961105027399, 235]"
226,"(459, 1706)","(549, 1774)","(504.0, 1706)","(504.0, 1774)","(459, 1740.0)","(549, 1740.0)","[-1, 0]","[86.81301745706112, 202]","[86.81301745706112, 202]","[86.81301745706112, 202]"
227,"(568, 1719)","(636, 1791)","(602.0, 1719)","(602.0, 1791)","(568, 1755.0)","(636, 1755.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
228,"(653, 1709)","(694, 1784)","(673.5, 1709)","(673.5, 1784)","(653, 1746.5)","(694, 1746.5)","[-1, 0]","[-1, 0]","[73.5, 230]","[-1, 0]"
229,"(708, 1719)","(786, 1774)","(747.0, 1719)","(747.0, 1774)","(708, 1746.5)","(786, 1746.5)","[73.5, 229]","[73.5, 229]","[-1, 0]","[73.5, 229]"
230,"(800, 1706)","(863, 1784)","(831.5, 1706)","(831.5, 1784)","(800, 1745.0)","(863, 1745.0)","[73.51530452905708, 238]","[-1, 0]","[73.51530452905708, 238]","[73.51530452905708, 238]"
231,"(877, 1712)","(1008, 1788)","(942.5, 1712)","(942.5, 1788)","(877, 1750.0)","(1008, 1750.0)","[69.8176195526602, 239]","[88.05963888183962, 214]","[69.8176195526602, 239]","[69.8176195526602, 239]"
232,"(1022, 1716)","(1192, 1777)","(1107.0, 1716)","(1107.0, 1777)","(1022, 1746.5)","(1192, 1746.5)","[83.773504164503, 241]","[79.30952023559341, 216]","[79.30952023559341, 216]","[79.30952023559341, 216]"
233,"(309, 1777)","(360, 1846)","(334.5, 1777)","(334.5, 1846)","(309, 1811.5)","(360, 1811.5)","[78.07848615335725, 235]","[78.07848615335725, 235]","[78.07848615335725, 235]","[83.60771495502075, 226]"
234,"(363, 1774)","(462, 1856)","(412.5, 1774)","(412.5, 1856)","(363, 1815.0)","(462, 1815.0)","[78.07848615335725, 234]","[78.07848615335725, 234]","[83.42961105027399, 226]","[78.07848615335725, 234]"
235,"(471, 1784)","(604, 1863)","(537.5, 1784)","(537.5, 1863)","(471, 1823.5)","(604, 1823.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
236,"(616, 1788)","(730, 1856)","(673.0, 1788)","(673.0, 1856)","(616, 1822.0)","(730, 1822.0)","[-1, 0]","[75.50165561098643, 229]","[75.50165561098643, 229]","[75.50165561098643, 229]"
237,"(742, 1788)","(918, 1849)","(830.0, 1788)","(830.0, 1849)","(742, 1818.5)","(918, 1818.5)","[126.0, 239]","[73.51530452905708, 231]","[73.51530452905708, 231]","[73.51530452905708, 231]"
238,"(933, 1788)","(979, 1849)","(956.0, 1788)","(956.0, 1849)","(933, 1818.5)","(979, 1818.5)","[69.30548318856164, 240]","[69.30548318856164, 240]","[69.30548318856164, 240]","[69.8176195526602, 232]"
239,"(989, 1791)","(1061, 1859)","(1025.0, 1791)","(1025.0, 1859)","(989, 1825.0)","(1061, 1825.0)","[69.30548318856164, 239]","[69.30548318856164, 239]","[-1, 0]","[69.30548318856164, 239]"
240,"(1076, 1798)","(1204, 1849)","(1140.0, 1798)","(1140.0, 1849)","(1076, 1823.5)","(1204, 1823.5)","[80.35234906335968, 282]","[83.773504164503, 233]","[80.35234906335968, 282]","[80.35234906335968, 282]"
241,"(1496, 1798)","(1586, 1866)","(1541.0, 1798)","(1541.0, 1866)","(1496, 1832.0)","(1586, 1832.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
242,"(1590, 1812)","(1714, 1876)","(1652.0, 1812)","(1652.0, 1876)","(1590, 1844.0)","(1714, 1844.0)","[70.8590149522275, 290]","[70.8590149522275, 290]","[70.8590149522275, 290]","[70.8590149522275, 290]"
243,"(1723, 1801)","(1760, 1876)","(1741.5, 1801)","(1741.5, 1876)","(1723, 1838.5)","(1760, 1838.5)","[56.14712815451918, 245]","[56.14712815451918, 245]","[56.14712815451918, 245]","[74.37909652583849, 291]"
244,"(1767, 1801)","(1827, 1859)","(1797.0, 1801)","(1797.0, 1859)","(1767, 1830.0)","(1827, 1830.0)","[56.14712815451918, 244]","[56.14712815451918, 244]","[-1, 0]","[56.14712815451918, 244]"
245,"(1837, 1805)","(1941, 1859)","(1889.0, 1805)","(1889.0, 1859)","(1837, 1832.0)","(1941, 1832.0)","[-1, 0]","[-1, 0]","[99.20307454912877, 292]","[-1, 0]"
246,"(1955, 1801)","(2069, 1856)","(2012.0, 1801)","(2012.0, 1856)","(1955, 1828.5)","(2069, 1828.5)","[86.20469824783333, 293]","[123.0497866718996, 246]","[86.20469824783333, 293]","[86.20469824783333, 293]"
247,"(2079, 1798)","(2282, 1859)","(2180.5, 1798)","(2180.5, 1859)","(2079, 1828.5)","(2282, 1828.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
248,"(1392, 1962)","(1474, 2023)","(1433.0, 1962)","(1433.0, 2023)","(1392, 1992.5)","(1474, 1992.5)","[-1, 0]","[77.07950440940834, 288]","[77.07950440940834, 288]","[77.07950440940834, 288]"
249,"(1496, 1958)","(1554, 2020)","(1525.0, 1958)","(1525.0, 2020)","(1496, 1989.0)","(1554, 1989.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
250,"(1576, 1955)","(1697, 2034)","(1636.5, 1955)","(1636.5, 2034)","(1576, 1994.5)","(1697, 1994.5)","[80.36168241145776, 258]","[80.62567829172043, 290]","[80.36168241145776, 258]","[80.36168241145776, 258]"
251,"(1723, 1962)","(1873, 2023)","(1798.0, 1962)","(1798.0, 2023)","(1723, 1992.5)","(1873, 1992.5)","[88.08092869628476, 259]","[93.81364506296512, 291]","[88.08092869628476, 259]","[88.08092869628476, 259]"
252,"(1931, 1955)","(1989, 2034)","(1960.0, 1955)","(1960.0, 2034)","(1931, 1994.5)","(1989, 1994.5)","[100.5, 254]","[78.13129974600449, 292]","[78.13129974600449, 292]","[78.13129974600449, 292]"
253,"(2011, 1955)","(2110, 2034)","(2060.5, 1955)","(2060.5, 2034)","(2011, 1994.5)","(2110, 1994.5)","[79.07591289387686, 261]","[88.80596826790416, 293]","[79.07591289387686, 261]","[79.07591289387686, 261]"
254,"(2134, 1972)","(2173, 2023)","(2153.5, 1972)","(2153.5, 2023)","(2134, 1997.5)","(2173, 1997.5)","[72.04338970370564, 262]","[86.33075929238663, 295]","[72.04338970370564, 262]","[72.04338970370564, 262]"
255,"(2199, 1958)","(2286, 2023)","(2242.5, 1958)","(2242.5, 2023)","(2199, 1990.5)","(2286, 1990.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
256,"(1390, 2044)","(1576, 2095)","(1483.0, 2044)","(1483.0, 2095)","(1390, 2069.5)","(1576, 2069.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
257,"(1610, 2044)","(1709, 2099)","(1659.5, 2044)","(1659.5, 2099)","(1610, 2071.5)","(1709, 2071.5)","[89.60189730134067, 266]","[80.36168241145776, 251]","[80.36168241145776, 251]","[80.36168241145776, 251]"
258,"(1738, 2041)","(1805, 2112)","(1771.5, 2041)","(1771.5, 2112)","(1738, 2076.5)","(1805, 2076.5)","[81.3910314469598, 267]","[88.08092869628476, 252]","[81.3910314469598, 267]","[81.3910314469598, 267]"
259,"(1830, 2037)","(1922, 2102)","(1876.0, 2037)","(1876.0, 2102)","(1830, 2069.5)","(1922, 2069.5)","[104.73418735064497, 259]","[104.73418735064497, 259]","[-1, 0]","[104.73418735064497, 259]"
260,"(1977, 2034)","(2108, 2109)","(2042.5, 2034)","(2042.5, 2109)","(1977, 2071.5)","(2108, 2071.5)","[-1, 0]","[79.07591289387686, 254]","[79.07591289387686, 254]","[79.07591289387686, 254]"
261,"(2129, 2037)","(2173, 2102)","(2151.0, 2037)","(2151.0, 2102)","(2129, 2069.5)","(2173, 2069.5)","[82.79643712141241, 263]","[72.04338970370564, 255]","[72.04338970370564, 255]","[72.04338970370564, 255]"
262,"(2195, 2041)","(2272, 2112)","(2233.5, 2041)","(2233.5, 2112)","(2195, 2076.5)","(2272, 2076.5)","[80.72329279706075, 270]","[82.79643712141241, 262]","[80.72329279706075, 270]","[80.72329279706075, 270]"
263,"(1385, 2133)","(1535, 2194)","(1460.0, 2133)","(1460.0, 2194)","(1385, 2163.5)","(1535, 2163.5)","[82.0, 335]","[-1, 0]","[82.0, 335]","[82.0, 335]"
264,"(1557, 2136)","(1631, 2188)","(1594.0, 2136)","(1594.0, 2188)","(1557, 2162.0)","(1631, 2162.0)","[74.3185710303959, 336]","[98.2496819333274, 266]","[74.3185710303959, 336]","[74.3185710303959, 336]"
265,"(1651, 2119)","(1733, 2191)","(1692.0, 2119)","(1692.0, 2191)","(1651, 2155.0)","(1733, 2155.0)","[98.2496819333274, 265]","[89.60189730134067, 258]","[89.60189730134067, 258]","[89.60189730134067, 258]"
266,"(1752, 2119)","(1834, 2191)","(1793.0, 2119)","(1793.0, 2191)","(1752, 2155.0)","(1834, 2155.0)","[84.13382197428095, 341]","[81.3910314469598, 259]","[81.3910314469598, 259]","[81.3910314469598, 259]"
267,"(1851, 2123)","(2074, 2184)","(1962.5, 2123)","(1962.5, 2184)","(1851, 2153.5)","(2074, 2153.5)","[95.77055915050303, 342]","[114.56002793295748, 261]","[95.77055915050303, 342]","[95.77055915050303, 342]"
268,"(2091, 2119)","(2183, 2184)","(2137.0, 2119)","(2137.0, 2184)","(2091, 2151.5)","(2183, 2151.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
269,"(2197, 2123)","(2282, 2191)","(2239.5, 2123)","(2239.5, 2191)","(2197, 2157.0)","(2282, 2157.0)","[83.194050268033, 344]","[80.72329279706075, 263]","[80.72329279706075, 263]","[80.72329279706075, 263]"
270,"(314, 1866)","(382, 1931)","(348.0, 1866)","(348.0, 1931)","(314, 1898.5)","(382, 1898.5)","[82.62263612352247, 277]","[88.04118354497513, 234]","[82.62263612352247, 277]","[82.62263612352247, 277]"
271,"(399, 1859)","(498, 1941)","(448.5, 1859)","(448.5, 1941)","(399, 1900.0)","(498, 1900.0)","[-1, 0]","[92.30926280715278, 235]","[-1, 0]","[-1, 0]"
272,"(524, 1873)","(573, 1941)","(548.5, 1873)","(548.5, 1941)","(524, 1907.0)","(573, 1907.0)","[23.04886114323222, 274]","[23.04886114323222, 274]","[23.04886114323222, 274]","[23.04886114323222, 274]"
273,"(561, 1880)","(582, 1931)","(571.5, 1880)","(571.5, 1931)","(561, 1905.5)","(582, 1905.5)","[23.04886114323222, 273]","[23.04886114323222, 273]","[23.04886114323222, 273]","[23.04886114323222, 273]"
274,"(611, 1870)","(665, 1938)","(638.0, 1870)","(638.0, 1938)","(611, 1904.0)","(665, 1904.0)","[66.51691514193965, 274]","[66.51691514193965, 274]","[-1, 0]","[66.51691514193965, 274]"
275,"(686, 1866)","(728, 1941)","(707.0, 1866)","(707.0, 1941)","(686, 1903.5)","(728, 1903.5)","[-1, 0]","[-1, 0]","[88.23831367382311, 283]","[-1, 0]"
276,"(309, 1945)","(396, 2017)","(352.5, 1945)","(352.5, 2017)","(309, 1981.0)","(396, 1981.0)","[90.51243008559653, 297]","[82.62263612352247, 271]","[82.62263612352247, 271]","[82.62263612352247, 271]"
277,"(408, 1945)","(544, 2020)","(476.0, 1945)","(476.0, 2020)","(408, 1982.5)","(544, 1982.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
278,"(558, 1952)","(595, 2027)","(576.5, 1952)","(576.5, 2027)","(558, 1989.5)","(595, 1989.5)","[74.38077708655645, 299]","[-1, 0]","[74.38077708655645, 299]","[74.38077708655645, 299]"
279,"(834, 1883)","(1027, 1945)","(930.5, 1883)","(930.5, 1945)","(834, 1914.0)","(1027, 1914.0)","[73.83258088405145, 285]","[-1, 0]","[73.83258088405145, 285]","[73.83258088405145, 285]"
280,"(1051, 1880)","(1117, 1935)","(1084.0, 1880)","(1084.0, 1935)","(1051, 1907.5)","(1117, 1907.5)","[80.05623023850174, 286]","[83.93151970505478, 282]","[80.05623023850174, 286]","[80.05623023850174, 286]"
281,"(1136, 1870)","(1199, 1928)","(1167.5, 1870)","(1167.5, 1928)","(1136, 1899.0)","(1199, 1899.0)","[82.0, 287]","[80.35234906335968, 241]","[80.35234906335968, 241]","[80.35234906335968, 241]"
282,"(696, 1952)","(788, 2017)","(742.0, 1952)","(742.0, 2017)","(696, 1984.5)","(788, 1984.5)","[-1, 0]","[-1, 0]","[-1, 0]","[88.23831367382311, 276]"
283,"(802, 1952)","(858, 2013)","(830.0, 1952)","(830.0, 2013)","(802, 1982.5)","(858, 1982.5)","[-1, 0]","[-1, 0]","[89.89438247187641, 301]","[-1, 0]"
284,"(873, 1962)","(974, 2013)","(923.5, 1962)","(923.5, 2013)","(873, 1987.5)","(974, 1987.5)","[85.15867542417507, 302]","[73.83258088405145, 280]","[73.83258088405145, 280]","[73.83258088405145, 280]"
285,"(991, 1952)","(1121, 2013)","(1056.0, 1952)","(1056.0, 2013)","(991, 1982.5)","(1121, 1982.5)","[83.95236744726142, 303]","[80.05623023850174, 281]","[80.05623023850174, 281]","[80.05623023850174, 281]"
286,"(1136, 1952)","(1199, 2010)","(1167.5, 1952)","(1167.5, 2010)","(1136, 1981.0)","(1199, 1981.0)","[99.92497185388645, 304]","[82.0, 282]","[82.0, 282]","[82.0, 282]"
287,"(1392, 1890)","(1467, 1941)","(1429.5, 1890)","(1429.5, 1941)","(1392, 1915.5)","(1467, 1915.5)","[77.07950440940834, 249]","[104.73418735064497, 289]","[77.07950440940834, 249]","[77.07950440940834, 249]"
288,"(1482, 1883)","(1586, 1962)","(1534.0, 1883)","(1534.0, 1962)","(1482, 1922.5)","(1586, 1922.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
289,"(1593, 1873)","(1689, 1955)","(1641.0, 1873)","(1641.0, 1955)","(1593, 1914.0)","(1689, 1914.0)","[70.8590149522275, 243]","[70.8590149522275, 243]","[70.8590149522275, 243]","[70.8590149522275, 243]"
290,"(1702, 1880)","(1796, 1945)","(1749.0, 1880)","(1749.0, 1945)","(1702, 1912.5)","(1796, 1912.5)","[93.81364506296512, 252]","[74.37909652583849, 244]","[74.37909652583849, 244]","[74.37909652583849, 244]"
291,"(1897, 1894)","(1960, 1952)","(1928.5, 1894)","(1928.5, 1952)","(1897, 1923.0)","(1960, 1923.0)","[78.13129974600449, 253]","[94.92760399378044, 293]","[78.13129974600449, 253]","[78.13129974600449, 253]"
292,"(1975, 1880)","(2071, 1948)","(2023.0, 1880)","(2023.0, 1948)","(1975, 1914.0)","(2071, 1914.0)","[83.07376240426336, 294]","[83.07376240426336, 294]","[83.07376240426336, 294]","[86.20469824783333, 247]"
293,"(2083, 1880)","(2129, 1941)","(2106.0, 1880)","(2106.0, 1941)","(2083, 1910.5)","(2129, 1910.5)","[-1, 0]","[-1, 0]","[-1, 0]","[83.07376240426336, 293]"
294,"(2137, 1873)","(2224, 1958)","(2180.5, 1873)","(2180.5, 1958)","(2137, 1915.5)","(2224, 1915.5)","[73.83258088405145, 296]","[73.83258088405145, 296]","[73.83258088405145, 296]","[-1, 0]"
295,"(2231, 1876)","(2277, 1941)","(2254.0, 1876)","(2254.0, 1941)","(2231, 1908.5)","(2277, 1908.5)","[73.83258088405145, 295]","[73.83258088405145, 295]","[-1, 0]","[73.83258088405145, 295]"
296,"(309, 2044)","(399, 2099)","(354.0, 2044)","(354.0, 2099)","(309, 2071.5)","(399, 2071.5)","[76.40844194197392, 305]","[90.51243008559653, 277]","[76.40844194197392, 305]","[76.40844194197392, 305]"
297,"(416, 2027)","(503, 2095)","(459.5, 2027)","(459.5, 2095)","(416, 2061.0)","(503, 2061.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
298,"(520, 2027)","(592, 2095)","(556.0, 2027)","(556.0, 2095)","(520, 2061.0)","(592, 2061.0)","[-1, 0]","[74.38077708655645, 279]","[74.38077708655645, 279]","[74.38077708655645, 279]"
299,"(611, 2044)","(831, 2105)","(721.0, 2044)","(721.0, 2105)","(611, 2074.5)","(831, 2074.5)","[76.15773105863909, 307]","[-1, 0]","[76.15773105863909, 307]","[76.15773105863909, 307]"
300,"(848, 2030)","(894, 2095)","(871.0, 2030)","(871.0, 2095)","(848, 2062.5)","(894, 2062.5)","[67.10625902253828, 302]","[67.10625902253828, 302]","[67.10625902253828, 302]","[86.64871608973787, 309]"
301,"(911, 2034)","(964, 2109)","(937.5, 2034)","(937.5, 2109)","(911, 2071.5)","(964, 2071.5)","[67.10625902253828, 301]","[67.10625902253828, 301]","[82.53029746705145, 309]","[67.10625902253828, 301]"
